,Date,Energie (kWh),Installation,Irradiance
5634,2023-06-25 18:00:00,324.92,LYCEE RESTAT - SERRE,
5635,2023-06-25 19:00:00,176.75,LYCEE RESTAT - SERRE,
5636,2023-06-25 20:00:00,50.33,LYCEE RESTAT - SERRE,
5637,2023-06-25 21:00:00,5.33,LYCEE RESTAT - SERRE,
5638,2023-06-25 22:00:00,0.0,LYCEE RESTAT - SERRE,
5639,2023-06-25 23:00:00,0.0,LYCEE RESTAT - SERRE,
5640,2023-06-26 00:00:00,0.0,LYCEE RESTAT - SERRE,
5641,2023-06-26 01:00:00,0.0,LYCEE RESTAT - SERRE,
5642,2023-06-26 02:00:00,0.0,LYCEE RESTAT - SERRE,
5643,2023-06-26 03:00:00,0.0,LYCEE RESTAT - SERRE,
5644,2023-06-26 04:00:00,0.0,LYCEE RESTAT - SERRE,
5645,2023-06-26 05:00:00,0.0,LYCEE RESTAT - SERRE,
5646,2023-06-26 06:00:00,4.17,LYCEE RESTAT - SERRE,
5647,2023-06-26 07:00:00,67.25,LYCEE RESTAT - SERRE,
5648,2023-06-26 08:00:00,149.5,LYCEE RESTAT - SERRE,
5649,2023-06-26 09:00:00,249.17,LYCEE RESTAT - SERRE,
5650,2023-06-26 10:00:00,472.5,LYCEE RESTAT - SERRE,
5651,2023-06-26 11:00:00,518.08,LYCEE RESTAT - SERRE,
5652,2023-06-26 12:00:00,666.75,LYCEE RESTAT - SERRE,
5653,2023-06-26 13:00:00,744.83,LYCEE RESTAT - SERRE,
5654,2023-06-26 14:00:00,693.67,LYCEE RESTAT - SERRE,
5655,2023-06-26 15:00:00,677.92,LYCEE RESTAT - SERRE,
5656,2023-06-26 16:00:00,612.92,LYCEE RESTAT - SERRE,
5657,2023-06-26 17:00:00,542.67,LYCEE RESTAT - SERRE,
5658,2023-06-26 18:00:00,341.92,LYCEE RESTAT - SERRE,
5659,2023-06-26 19:00:00,160.17,LYCEE RESTAT - SERRE,
5660,2023-06-26 20:00:00,64.17,LYCEE RESTAT - SERRE,
5661,2023-06-26 21:00:00,10.08,LYCEE RESTAT - SERRE,
5662,2023-06-26 22:00:00,0.0,LYCEE RESTAT - SERRE,
5663,2023-06-26 23:00:00,0.0,LYCEE RESTAT - SERRE,
5664,2023-06-27 00:00:00,0.0,LYCEE RESTAT - SERRE,
5665,2023-06-27 01:00:00,0.0,LYCEE RESTAT - SERRE,
5666,2023-06-27 02:00:00,0.0,LYCEE RESTAT - SERRE,
5667,2023-06-27 03:00:00,0.0,LYCEE RESTAT - SERRE,
5668,2023-06-27 04:00:00,0.0,LYCEE RESTAT - SERRE,
5669,2023-06-27 05:00:00,0.0,LYCEE RESTAT - SERRE,
5670,2023-06-27 06:00:00,5.08,LYCEE RESTAT - SERRE,
5671,2023-06-27 07:00:00,67.92,LYCEE RESTAT - SERRE,
5672,2023-06-27 08:00:00,188.25,LYCEE RESTAT - SERRE,
5673,2023-06-27 09:00:00,352.92,LYCEE RESTAT - SERRE,
5674,2023-06-27 10:00:00,527.75,LYCEE RESTAT - SERRE,
5675,2023-06-27 11:00:00,610.08,LYCEE RESTAT - SERRE,
5676,2023-06-27 12:00:00,695.0,LYCEE RESTAT - SERRE,
5677,2023-06-27 13:00:00,743.33,LYCEE RESTAT - SERRE,
5678,2023-06-27 14:00:00,729.58,LYCEE RESTAT - SERRE,
5679,2023-06-27 15:00:00,702.5,LYCEE RESTAT - SERRE,
5680,2023-06-27 16:00:00,447.17,LYCEE RESTAT - SERRE,
5681,2023-06-27 17:00:00,442.17,LYCEE RESTAT - SERRE,
5682,2023-06-27 18:00:00,277.25,LYCEE RESTAT - SERRE,
5683,2023-06-27 19:00:00,144.92,LYCEE RESTAT - SERRE,
5684,2023-06-27 20:00:00,70.25,LYCEE RESTAT - SERRE,
5685,2023-06-27 21:00:00,15.75,LYCEE RESTAT - SERRE,
5686,2023-06-27 22:00:00,0.0,LYCEE RESTAT - SERRE,
5687,2023-06-27 23:00:00,0.0,LYCEE RESTAT - SERRE,
5688,2023-06-28 00:00:00,0.0,LYCEE RESTAT - SERRE,
5689,2023-06-28 01:00:00,0.0,LYCEE RESTAT - SERRE,
5690,2023-06-28 02:00:00,0.0,LYCEE RESTAT - SERRE,
5691,2023-06-28 03:00:00,0.0,LYCEE RESTAT - SERRE,
5692,2023-06-28 04:00:00,0.0,LYCEE RESTAT - SERRE,
5693,2023-06-28 05:00:00,0.0,LYCEE RESTAT - SERRE,
5694,2023-06-28 06:00:00,4.25,LYCEE RESTAT - SERRE,
5695,2023-06-28 07:00:00,59.42,LYCEE RESTAT - SERRE,
5696,2023-06-28 08:00:00,172.0,LYCEE RESTAT - SERRE,
5697,2023-06-28 09:00:00,327.17,LYCEE RESTAT - SERRE,
5698,2023-06-28 10:00:00,482.67,LYCEE RESTAT - SERRE,
5699,2023-06-28 11:00:00,612.67,LYCEE RESTAT - SERRE,
5700,2023-06-28 12:00:00,703.33,LYCEE RESTAT - SERRE,
5701,2023-06-28 13:00:00,735.58,LYCEE RESTAT - SERRE,
5702,2023-06-28 14:00:00,719.58,LYCEE RESTAT - SERRE,
5703,2023-06-28 15:00:00,682.75,LYCEE RESTAT - SERRE,
5704,2023-06-28 16:00:00,640.75,LYCEE RESTAT - SERRE,
5705,2023-06-28 17:00:00,521.83,LYCEE RESTAT - SERRE,
5706,2023-06-28 18:00:00,350.75,LYCEE RESTAT - SERRE,
5707,2023-06-28 19:00:00,176.83,LYCEE RESTAT - SERRE,
5708,2023-06-28 20:00:00,61.17,LYCEE RESTAT - SERRE,
5709,2023-06-28 21:00:00,8.08,LYCEE RESTAT - SERRE,
5710,2023-06-28 22:00:00,0.0,LYCEE RESTAT - SERRE,
5711,2023-06-28 23:00:00,0.0,LYCEE RESTAT - SERRE,
5712,2023-06-29 00:00:00,0.0,LYCEE RESTAT - SERRE,
5713,2023-06-29 01:00:00,0.0,LYCEE RESTAT - SERRE,
5714,2023-06-29 02:00:00,0.0,LYCEE RESTAT - SERRE,
5715,2023-06-29 03:00:00,0.0,LYCEE RESTAT - SERRE,
5716,2023-06-29 04:00:00,0.0,LYCEE RESTAT - SERRE,
5717,2023-06-29 05:00:00,0.0,LYCEE RESTAT - SERRE,
5718,2023-06-29 06:00:00,2.58,LYCEE RESTAT - SERRE,
5719,2023-06-29 07:00:00,56.33,LYCEE RESTAT - SERRE,
5720,2023-06-29 08:00:00,187.83,LYCEE RESTAT - SERRE,
5721,2023-06-29 09:00:00,339.25,LYCEE RESTAT - SERRE,
5722,2023-06-29 10:00:00,510.25,LYCEE RESTAT - SERRE,
5723,2023-06-29 11:00:00,525.75,LYCEE RESTAT - SERRE,
