"idDonneesCentrale","temps","compteurEnergie","irradiance_en_watt_par_surface","idCentrale_id"
414,"2024-03-19 13:45:00+01",NULL,"188.38",4
415,"2024-03-19 13:50:00+01",NULL,"0.00",4
416,"2024-03-19 13:55:00+01",NULL,"0.00",4
417,"2024-03-19 14:00:00+01",NULL,"194.08",4
418,"2024-03-19 14:05:00+01",NULL,"0.00",4
419,"2024-03-19 14:10:00+01",NULL,"0.00",4
420,"2024-03-19 14:15:00+01",NULL,"200.33",4
421,"2024-03-19 14:20:00+01",NULL,"0.00",4
422,"2024-03-19 14:25:00+01",NULL,"0.00",4
423,"2024-03-19 14:30:00+01",NULL,"205.01",4
424,"2024-03-19 14:35:00+01",NULL,"0.00",4
425,"2024-03-19 14:40:00+01",NULL,"0.00",4
426,"2024-03-19 14:45:00+01",NULL,"207.51",4
427,"2024-03-19 14:50:00+01",NULL,"0.00",4
428,"2024-03-19 14:55:00+01",NULL,"0.00",4
429,"2024-03-19 15:00:00+01",NULL,"210.21",4
430,"2024-03-19 15:05:00+01",NULL,"0.00",4
431,"2024-03-19 15:10:00+01",NULL,"0.00",4
432,"2024-03-19 15:15:00+01",NULL,"211.24",4
433,"2024-03-19 15:20:00+01",NULL,"0.00",4
434,"2024-03-19 15:25:00+01",NULL,"0.00",4
435,"2024-03-19 15:30:00+01",NULL,"210.73",4
436,"2024-03-19 15:35:00+01",NULL,"0.00",4
437,"2024-03-19 15:40:00+01",NULL,"0.00",4
438,"2024-03-19 15:45:00+01",NULL,"209.91",4
439,"2024-03-19 15:50:00+01",NULL,"0.00",4
440,"2024-03-19 15:55:00+01",NULL,"0.00",4
441,"2024-03-19 16:00:00+01",NULL,"208.86",4
442,"2024-03-19 16:05:00+01",NULL,"0.00",4
443,"2024-03-19 16:10:00+01",NULL,"0.00",4
444,"2024-03-19 16:15:00+01",NULL,"206.03",4
445,"2024-03-19 16:20:00+01",NULL,"0.00",4
446,"2024-03-19 16:25:00+01",NULL,"0.00",4
447,"2024-03-19 16:30:00+01",NULL,"200.40",4
448,"2024-03-19 16:35:00+01",NULL,"0.00",4
449,"2024-03-19 16:40:00+01",NULL,"0.00",4
450,"2024-03-19 16:45:00+01",NULL,"193.99",4
451,"2024-03-19 16:50:00+01",NULL,"0.00",4
452,"2024-03-19 16:55:00+01",NULL,"0.00",4
453,"2024-03-19 17:00:00+01",NULL,"186.53",4
454,"2024-03-19 17:05:00+01",NULL,"0.00",4
455,"2024-03-19 17:10:00+01",NULL,"0.00",4
456,"2024-03-19 17:15:00+01",NULL,"178.09",4
457,"2024-03-19 17:20:00+01",NULL,"0.00",4
458,"2024-03-19 17:25:00+01",NULL,"0.00",4
459,"2024-03-19 17:30:00+01",NULL,"167.52",4
460,"2024-03-19 17:35:00+01",NULL,"0.00",4
461,"2024-03-19 17:40:00+01",NULL,"0.00",4
462,"2024-03-19 17:45:00+01",NULL,"156.96",4
463,"2024-03-19 17:50:00+01",NULL,"0.00",4
464,"2024-03-19 17:55:00+01",NULL,"0.00",4
465,"2024-03-19 18:00:00+01",NULL,"145.39",4
466,"2024-03-19 18:05:00+01",NULL,"0.00",4
467,"2024-03-19 18:10:00+01",NULL,"0.00",4
468,"2024-03-19 18:15:00+01",NULL,"132.45",4
469,"2024-03-19 18:20:00+01",NULL,"0.00",4
470,"2024-03-19 18:25:00+01",NULL,"0.00",4
471,"2024-03-19 18:30:00+01",NULL,"118.71",4
472,"2024-03-19 18:35:00+01",NULL,"0.00",4
473,"2024-03-19 18:40:00+01",NULL,"0.00",4
474,"2024-03-19 18:45:00+01",NULL,"102.88",4
