,Date,Energie (kWh),Centrale,Installation
1450,2023-07-31 10:00:00,558.5,,LYCEE RESTAT - SERRE
1451,2023-07-31 11:00:00,672.67,,LYCEE RESTAT - SERRE
1452,2023-07-31 12:00:00,748.67,,LYCEE RESTAT - SERRE
1453,2023-07-31 13:00:00,754.92,,LYCEE RESTAT - SERRE
1454,2023-07-31 14:00:00,751.58,,LYCEE RESTAT - SERRE
1455,2023-07-31 15:00:00,724.08,,LYCEE RESTAT - SERRE
1456,2023-07-31 16:00:00,671.67,,LYCEE RESTAT - SERRE
1457,2023-07-31 17:00:00,557.17,,LYCEE RESTAT - SERRE
1458,2023-07-31 18:00:00,367.5,,LYCEE RESTAT - SERRE
1459,2023-07-31 19:00:00,156.67,,LYCEE RESTAT - SERRE
1460,2023-07-31 20:00:00,26.42,,LYCEE RESTAT - SERRE
1461,2023-07-31 21:00:00,0.0,,LYCEE RESTAT - SERRE
1462,2023-07-31 22:00:00,0.0,,LYCEE RESTAT - SERRE
1463,2023-07-31 23:00:00,0.0,,LYCEE RESTAT - SERRE
1464,2023-08-01 00:00:00,0.0,,LYCEE RESTAT - SERRE
1465,2023-08-01 01:00:00,0.0,,LYCEE RESTAT - SERRE
1466,2023-08-01 02:00:00,0.0,,LYCEE RESTAT - SERRE
1467,2023-08-01 03:00:00,0.0,,LYCEE RESTAT - SERRE
1468,2023-08-01 04:00:00,0.0,,LYCEE RESTAT - SERRE
1469,2023-08-01 05:00:00,0.0,,LYCEE RESTAT - SERRE
1470,2023-08-01 06:00:00,0.0,,LYCEE RESTAT - SERRE
1471,2023-08-01 07:00:00,6.83,,LYCEE RESTAT - SERRE
1472,2023-08-01 08:00:00,44.67,,LYCEE RESTAT - SERRE
1473,2023-08-01 09:00:00,50.0,,LYCEE RESTAT - SERRE
1474,2023-08-01 10:00:00,102.67,,LYCEE RESTAT - SERRE
1475,2023-08-01 11:00:00,207.42,,LYCEE RESTAT - SERRE
1476,2023-08-01 12:00:00,437.25,,LYCEE RESTAT - SERRE
1477,2023-08-01 13:00:00,624.42,,LYCEE RESTAT - SERRE
1478,2023-08-01 14:00:00,687.67,,LYCEE RESTAT - SERRE
1479,2023-08-01 15:00:00,667.25,,LYCEE RESTAT - SERRE
1480,2023-08-01 16:00:00,560.42,,LYCEE RESTAT - SERRE
1481,2023-08-01 17:00:00,532.42,,LYCEE RESTAT - SERRE
1482,2023-08-01 18:00:00,365.08,,LYCEE RESTAT - SERRE
1483,2023-08-01 19:00:00,156.25,,LYCEE RESTAT - SERRE
1484,2023-08-01 20:00:00,28.42,,LYCEE RESTAT - SERRE
1485,2023-08-01 21:00:00,0.75,,LYCEE RESTAT - SERRE
1486,2023-08-01 22:00:00,0.0,,LYCEE RESTAT - SERRE
1487,2023-08-01 23:00:00,0.0,,LYCEE RESTAT - SERRE
1488,2023-08-02 00:00:00,0.0,,LYCEE RESTAT - SERRE
1489,2023-08-02 01:00:00,0.0,,LYCEE RESTAT - SERRE
1490,2023-08-02 02:00:00,0.0,,LYCEE RESTAT - SERRE
1491,2023-08-02 03:00:00,0.0,,LYCEE RESTAT - SERRE
1492,2023-08-02 04:00:00,0.0,,LYCEE RESTAT - SERRE
1493,2023-08-02 05:00:00,0.0,,LYCEE RESTAT - SERRE
1494,2023-08-02 06:00:00,0.0,,LYCEE RESTAT - SERRE
1495,2023-08-02 07:00:00,29.83,,LYCEE RESTAT - SERRE
1496,2023-08-02 08:00:00,94.33,,LYCEE RESTAT - SERRE
1497,2023-08-02 09:00:00,210.17,,LYCEE RESTAT - SERRE
1498,2023-08-02 10:00:00,479.33,,LYCEE RESTAT - SERRE
1499,2023-08-02 11:00:00,177.42,,LYCEE RESTAT - SERRE
1500,2023-08-02 12:00:00,400.33,,LYCEE RESTAT - SERRE
1501,2023-08-02 13:00:00,404.75,,LYCEE RESTAT - SERRE
1502,2023-08-02 14:00:00,240.75,,LYCEE RESTAT - SERRE
1503,2023-08-02 15:00:00,338.58,,LYCEE RESTAT - SERRE
1504,2023-08-02 16:00:00,368.0,,LYCEE RESTAT - SERRE
1505,2023-08-02 17:00:00,345.83,,LYCEE RESTAT - SERRE
1506,2023-08-02 18:00:00,352.92,,LYCEE RESTAT - SERRE
1507,2023-08-02 19:00:00,101.67,,LYCEE RESTAT - SERRE
1508,2023-08-02 20:00:00,5.75,,LYCEE RESTAT - SERRE
1509,2023-08-02 21:00:00,0.25,,LYCEE RESTAT - SERRE
1510,2023-08-02 22:00:00,0.0,,LYCEE RESTAT - SERRE
1511,2023-08-02 23:00:00,0.0,,LYCEE RESTAT - SERRE
1512,2023-08-03 00:00:00,0.0,,LYCEE RESTAT - SERRE
1513,2023-08-03 01:00:00,0.0,,LYCEE RESTAT - SERRE
1514,2023-08-03 02:00:00,0.0,,LYCEE RESTAT - SERRE
1515,2023-08-03 03:00:00,0.0,,LYCEE RESTAT - SERRE
1516,2023-08-03 04:00:00,0.0,,LYCEE RESTAT - SERRE
1517,2023-08-03 05:00:00,0.0,,LYCEE RESTAT - SERRE
1518,2023-08-03 06:00:00,0.0,,LYCEE RESTAT - SERRE
1519,2023-08-03 07:00:00,30.33,,LYCEE RESTAT - SERRE
1520,2023-08-03 08:00:00,144.5,,LYCEE RESTAT - SERRE
1521,2023-08-03 09:00:00,299.25,,LYCEE RESTAT - SERRE
1522,2023-08-03 10:00:00,413.83,,LYCEE RESTAT - SERRE
1523,2023-08-03 11:00:00,468.08,,LYCEE RESTAT - SERRE
1524,2023-08-03 12:00:00,383.58,,LYCEE RESTAT - SERRE
1525,2023-08-03 13:00:00,623.67,,LYCEE RESTAT - SERRE
1526,2023-08-03 14:00:00,633.92,,LYCEE RESTAT - SERRE
1527,2023-08-03 15:00:00,548.08,,LYCEE RESTAT - SERRE
1528,2023-08-03 16:00:00,503.17,,LYCEE RESTAT - SERRE
1529,2023-08-03 17:00:00,349.0,,LYCEE RESTAT - SERRE
1530,2023-08-03 18:00:00,283.5,,LYCEE RESTAT - SERRE
1531,2023-08-03 19:00:00,136.33,,LYCEE RESTAT - SERRE
1532,2023-08-03 20:00:00,30.83,,LYCEE RESTAT - SERRE
1533,2023-08-03 21:00:00,0.17,,LYCEE RESTAT - SERRE
1534,2023-08-03 22:00:00,0.0,,LYCEE RESTAT - SERRE
1535,2023-08-03 23:00:00,0.0,,LYCEE RESTAT - SERRE
1536,2023-08-04 00:00:00,0.0,,LYCEE RESTAT - SERRE
1537,2023-08-04 01:00:00,0.0,,LYCEE RESTAT - SERRE
1538,2023-08-04 02:00:00,0.0,,LYCEE RESTAT - SERRE
1539,2023-08-04 03:00:00,0.0,,LYCEE RESTAT - SERRE
1540,2023-08-04 04:00:00,0.0,,LYCEE RESTAT - SERRE
1541,2023-08-04 05:00:00,0.0,,LYCEE RESTAT - SERRE
1542,2023-08-04 06:00:00,0.0,,LYCEE RESTAT - SERRE
1543,2023-08-04 07:00:00,23.42,,LYCEE RESTAT - SERRE
1544,2023-08-04 08:00:00,71.42,,LYCEE RESTAT - SERRE
1545,2023-08-04 09:00:00,127.67,,LYCEE RESTAT - SERRE
1546,2023-08-04 10:00:00,252.67,,LYCEE RESTAT - SERRE
1547,2023-08-04 11:00:00,273.33,,LYCEE RESTAT - SERRE
1548,2023-08-04 12:00:00,515.83,,LYCEE RESTAT - SERRE
1549,2023-08-04 13:00:00,514.42,,LYCEE RESTAT - SERRE
1550,2023-08-04 14:00:00,572.83,,LYCEE RESTAT - SERRE
1551,2023-08-04 15:00:00,629.83,,LYCEE RESTAT - SERRE
1552,2023-08-04 16:00:00,620.17,,LYCEE RESTAT - SERRE
1553,2023-08-04 17:00:00,594.42,,LYCEE RESTAT - SERRE
1554,2023-08-04 18:00:00,357.58,,LYCEE RESTAT - SERRE
1555,2023-08-04 19:00:00,87.75,,LYCEE RESTAT - SERRE
1556,2023-08-04 20:00:00,29.42,,LYCEE RESTAT - SERRE
1557,2023-08-04 21:00:00,0.33,,LYCEE RESTAT - SERRE
1558,2023-08-04 22:00:00,0.0,,LYCEE RESTAT - SERRE
1559,2023-08-04 23:00:00,0.0,,LYCEE RESTAT - SERRE
1560,2023-08-05 00:00:00,0.0,,LYCEE RESTAT - SERRE
1561,2023-08-05 01:00:00,0.0,,LYCEE RESTAT - SERRE
1562,2023-08-05 02:00:00,0.0,,LYCEE RESTAT - SERRE
1563,2023-08-05 03:00:00,0.0,,LYCEE RESTAT - SERRE
1564,2023-08-05 04:00:00,0.0,,LYCEE RESTAT - SERRE
1565,2023-08-05 05:00:00,0.0,,LYCEE RESTAT - SERRE
1566,2023-08-05 06:00:00,0.0,,LYCEE RESTAT - SERRE
