﻿Installation,ID client,Date,Courbe de charge (kWh)
SAINT MARCEL,,2023-06-12 04:00:00,0.00
SAINT MARCEL,,2023-06-12 05:00:00,0.00
SAINT MARCEL,,2023-06-12 06:00:00,8.00
SAINT MARCEL,,2023-06-12 07:00:00,51.92
SAINT MARCEL,,2023-06-12 08:00:00,157.25
SAINT MARCEL,,2023-06-12 09:00:00,264.17
SAINT MARCEL,,2023-06-12 10:00:00,306.67
SAINT MARCEL,,2023-06-12 11:00:00,403.33
SAINT MARCEL,,2023-06-12 12:00:00,434.08
SAINT MARCEL,,2023-06-12 13:00:00,423.58
SAINT MARCEL,,2023-06-12 14:00:00,381.50
SAINT MARCEL,,2023-06-12 15:00:00,364.00
SAINT MARCEL,,2023-06-12 16:00:00,289.42
SAINT MARCEL,,2023-06-12 17:00:00,73.42
SAINT MARCEL,,2023-06-12 18:00:00,11.42
SAINT MARCEL,,2023-06-12 19:00:00,3.17
SAINT MARCEL,,2023-06-12 20:00:00,0.50
SAINT MARCEL,,2023-06-12 21:00:00,0.00
SAINT MARCEL,,2023-06-12 22:00:00,0.00
SAINT MARCEL,,2023-06-12 23:00:00,0.00
SAINT MARCEL,,2023-06-13 00:00:00,0.00
SAINT MARCEL,,2023-06-13 01:00:00,0.00
SAINT MARCEL,,2023-06-13 02:00:00,0.00
SAINT MARCEL,,2023-06-13 03:00:00,0.00
SAINT MARCEL,,2023-06-13 04:00:00,0.00
SAINT MARCEL,,2023-06-13 05:00:00,0.00
SAINT MARCEL,,2023-06-13 06:00:00,10.67
SAINT MARCEL,,2023-06-13 07:00:00,18.50
SAINT MARCEL,,2023-06-13 08:00:00,74.08
SAINT MARCEL,,2023-06-13 09:00:00,108.08
SAINT MARCEL,,2023-06-13 10:00:00,159.42
SAINT MARCEL,,2023-06-13 11:00:00,247.17
SAINT MARCEL,,2023-06-13 12:00:00,328.67
SAINT MARCEL,,2023-06-13 13:00:00,417.25
SAINT MARCEL,,2023-06-13 14:00:00,453.58
SAINT MARCEL,,2023-06-13 15:00:00,269.92
SAINT MARCEL,,2023-06-13 16:00:00,124.42
SAINT MARCEL,,2023-06-13 17:00:00,95.25
SAINT MARCEL,,2023-06-13 18:00:00,90.42
SAINT MARCEL,,2023-06-13 19:00:00,41.33
SAINT MARCEL,,2023-06-13 20:00:00,17.58
SAINT MARCEL,,2023-06-13 21:00:00,0.33
SAINT MARCEL,,2023-06-13 22:00:00,0.00
SAINT MARCEL,,2023-06-13 23:00:00,0.00
SAINT MARCEL,,2023-06-14 00:00:00,0.00
SAINT MARCEL,,2023-06-14 01:00:00,0.00
SAINT MARCEL,,2023-06-14 02:00:00,0.00
SAINT MARCEL,,2023-06-14 03:00:00,0.00
SAINT MARCEL,,2023-06-14 04:00:00,0.00
SAINT MARCEL,,2023-06-14 05:00:00,0.00
SAINT MARCEL,,2023-06-14 06:00:00,4.08
SAINT MARCEL,,2023-06-14 07:00:00,20.42
SAINT MARCEL,,2023-06-14 08:00:00,89.75
SAINT MARCEL,,2023-06-14 09:00:00,148.92
SAINT MARCEL,,2023-06-14 10:00:00,324.50
SAINT MARCEL,,2023-06-14 11:00:00,401.67
SAINT MARCEL,,2023-06-14 12:00:00,364.42
SAINT MARCEL,,2023-06-14 13:00:00,424.00
SAINT MARCEL,,2023-06-14 14:00:00,426.17
SAINT MARCEL,,2023-06-14 15:00:00,418.17
SAINT MARCEL,,2023-06-14 16:00:00,366.75
SAINT MARCEL,,2023-06-14 17:00:00,291.33
SAINT MARCEL,,2023-06-14 18:00:00,191.17
SAINT MARCEL,,2023-06-14 19:00:00,86.25
SAINT MARCEL,,2023-06-14 20:00:00,16.08
SAINT MARCEL,,2023-06-14 21:00:00,0.67
SAINT MARCEL,,2023-06-14 22:00:00,0.00
SAINT MARCEL,,2023-06-14 23:00:00,0.00
SAINT MARCEL,,2023-06-15 00:00:00,0.00
SAINT MARCEL,,2023-06-15 01:00:00,0.00
SAINT MARCEL,,2023-06-15 02:00:00,0.00
SAINT MARCEL,,2023-06-15 03:00:00,0.00
SAINT MARCEL,,2023-06-15 04:00:00,0.00
SAINT MARCEL,,2023-06-15 05:00:00,0.00
SAINT MARCEL,,2023-06-15 06:00:00,11.50
SAINT MARCEL,,2023-06-15 07:00:00,61.00
SAINT MARCEL,,2023-06-15 08:00:00,166.50
SAINT MARCEL,,2023-06-15 09:00:00,272.83
SAINT MARCEL,,2023-06-15 10:00:00,361.33
SAINT MARCEL,,2023-06-15 11:00:00,418.92
SAINT MARCEL,,2023-06-15 12:00:00,449.83
SAINT MARCEL,,2023-06-15 13:00:00,458.83
SAINT MARCEL,,2023-06-15 14:00:00,416.83
SAINT MARCEL,,2023-06-15 15:00:00,428.08
SAINT MARCEL,,2023-06-15 16:00:00,361.50
SAINT MARCEL,,2023-06-15 17:00:00,289.92
SAINT MARCEL,,2023-06-15 18:00:00,182.17
SAINT MARCEL,,2023-06-15 19:00:00,76.67
SAINT MARCEL,,2023-06-15 20:00:00,18.42
SAINT MARCEL,,2023-06-15 21:00:00,0.50
SAINT MARCEL,,2023-06-15 22:00:00,0.00
SAINT MARCEL,,2023-06-15 23:00:00,0.00
SAINT MARCEL,,2023-06-16 00:00:00,0.00
SAINT MARCEL,,2023-06-16 01:00:00,0.00
SAINT MARCEL,,2023-06-16 02:00:00,0.00
SAINT MARCEL,,2023-06-16 03:00:00,0.00
SAINT MARCEL,,2023-06-16 04:00:00,0.00
SAINT MARCEL,,2023-06-16 05:00:00,0.00
SAINT MARCEL,,2023-06-16 06:00:00,11.75
SAINT MARCEL,,2023-06-16 07:00:00,59.58
SAINT MARCEL,,2023-06-16 08:00:00,156.75
SAINT MARCEL,,2023-06-16 09:00:00,264.25
SAINT MARCEL,,2023-06-16 10:00:00,349.75
SAINT MARCEL,,2023-06-16 11:00:00,407.92
SAINT MARCEL,,2023-06-16 12:00:00,442.25
SAINT MARCEL,,2023-06-16 13:00:00,452.25
SAINT MARCEL,,2023-06-16 14:00:00,442.83
SAINT MARCEL,,2023-06-16 15:00:00,414.42
SAINT MARCEL,,2023-06-16 16:00:00,366.67
SAINT MARCEL,,2023-06-16 17:00:00,284.42
SAINT MARCEL,,2023-06-16 18:00:00,186.50
SAINT MARCEL,,2023-06-16 19:00:00,81.75
SAINT MARCEL,,2023-06-16 20:00:00,18.42
SAINT MARCEL,,2023-06-16 21:00:00,0.50
SAINT MARCEL,,2023-06-16 22:00:00,0.00
SAINT MARCEL,,2023-06-16 23:00:00,0.00
SAINT MARCEL,,2023-06-17 00:00:00,0.00
SAINT MARCEL,,2023-06-17 01:00:00,0.00
SAINT MARCEL,,2023-06-17 02:00:00,0.00
SAINT MARCEL,,2023-06-17 03:00:00,0.00
SAINT MARCEL,,2023-06-17 04:00:00,0.00
SAINT MARCEL,,2023-06-17 05:00:00,0.00
SAINT MARCEL,,2023-06-17 06:00:00,12.83
SAINT MARCEL,,2023-06-17 07:00:00,59.25
SAINT MARCEL,,2023-06-17 08:00:00,152.42
SAINT MARCEL,,2023-06-17 09:00:00,255.25
SAINT MARCEL,,2023-06-17 10:00:00,318.00
SAINT MARCEL,,2023-06-17 11:00:00,391.25
SAINT MARCEL,,2023-06-17 12:00:00,415.33
SAINT MARCEL,,2023-06-17 13:00:00,431.25
SAINT MARCEL,,2023-06-17 14:00:00,429.08
SAINT MARCEL,,2023-06-17 15:00:00,398.83
SAINT MARCEL,,2023-06-17 16:00:00,345.33
SAINT MARCEL,,2023-06-17 17:00:00,274.25
SAINT MARCEL,,2023-06-17 18:00:00,163.83
SAINT MARCEL,,2023-06-17 19:00:00,81.75
SAINT MARCEL,,2023-06-17 20:00:00,19.17
SAINT MARCEL,,2023-06-17 21:00:00,0.08
SAINT MARCEL,,2023-06-17 22:00:00,0.00
SAINT MARCEL,,2023-06-17 23:00:00,0.00
SAINT MARCEL,,2023-06-18 00:00:00,0.00
SAINT MARCEL,,2023-06-18 01:00:00,0.00
SAINT MARCEL,,2023-06-18 02:00:00,0.00
SAINT MARCEL,,2023-06-18 03:00:00,0.00
SAINT MARCEL,,2023-06-18 04:00:00,0.00
SAINT MARCEL,,2023-06-18 05:00:00,0.00
SAINT MARCEL,,2023-06-18 06:00:00,19.75
SAINT MARCEL,,2023-06-18 07:00:00,69.25
SAINT MARCEL,,2023-06-18 08:00:00,97.17
SAINT MARCEL,,2023-06-18 09:00:00,67.75
SAINT MARCEL,,2023-06-18 10:00:00,211.00
SAINT MARCEL,,2023-06-18 11:00:00,211.92
SAINT MARCEL,,2023-06-18 12:00:00,419.92
SAINT MARCEL,,2023-06-18 13:00:00,455.58
SAINT MARCEL,,2023-06-18 14:00:00,426.67
SAINT MARCEL,,2023-06-18 15:00:00,399.33
SAINT MARCEL,,2023-06-18 16:00:00,246.50
SAINT MARCEL,,2023-06-18 17:00:00,271.33
SAINT MARCEL,,2023-06-18 18:00:00,143.58
SAINT MARCEL,,2023-06-18 19:00:00,52.83
SAINT MARCEL,,2023-06-18 20:00:00,13.42
SAINT MARCEL,,2023-06-18 21:00:00,0.42
SAINT MARCEL,,2023-06-18 22:00:00,0.00
SAINT MARCEL,,2023-06-18 23:00:00,0.00
SAINT MARCEL,,2023-06-19 00:00:00,0.00
SAINT MARCEL,,2023-06-19 01:00:00,0.00
SAINT MARCEL,,2023-06-19 02:00:00,0.00
SAINT MARCEL,,2023-06-19 03:00:00,0.00
SAINT MARCEL,,2023-06-19 04:00:00,0.00
SAINT MARCEL,,2023-06-19 05:00:00,0.00
SAINT MARCEL,,2023-06-19 06:00:00,5.33
SAINT MARCEL,,2023-06-19 07:00:00,19.08
SAINT MARCEL,,2023-06-19 08:00:00,43.25
SAINT MARCEL,,2023-06-19 09:00:00,66.17
SAINT MARCEL,,2023-06-19 10:00:00,316.58
SAINT MARCEL,,2023-06-19 11:00:00,389.08
SAINT MARCEL,,2023-06-19 12:00:00,364.08
SAINT MARCEL,,2023-06-19 13:00:00,423.33
SAINT MARCEL,,2023-06-19 14:00:00,351.25
SAINT MARCEL,,2023-06-19 15:00:00,375.58
SAINT MARCEL,,2023-06-19 16:00:00,331.08
SAINT MARCEL,,2023-06-19 17:00:00,199.08
SAINT MARCEL,,2023-06-19 18:00:00,107.25
SAINT MARCEL,,2023-06-19 19:00:00,48.83
SAINT MARCEL,,2023-06-19 20:00:00,8.33
SAINT MARCEL,,2023-06-19 21:00:00,0.00
SAINT MARCEL,,2023-06-19 22:00:00,0.00
SAINT MARCEL,,2023-06-19 23:00:00,0.00
SAINT MARCEL,,2023-06-20 00:00:00,0.00
SAINT MARCEL,,2023-06-20 01:00:00,0.00
SAINT MARCEL,,2023-06-20 02:00:00,0.00
SAINT MARCEL,,2023-06-20 03:00:00,0.00
SAINT MARCEL,,2023-06-20 04:00:00,0.00
SAINT MARCEL,,2023-06-20 05:00:00,0.00
SAINT MARCEL,,2023-06-20 06:00:00,15.25
SAINT MARCEL,,2023-06-20 07:00:00,61.50
SAINT MARCEL,,2023-06-20 08:00:00,134.50
SAINT MARCEL,,2023-06-20 09:00:00,185.50
SAINT MARCEL,,2023-06-20 10:00:00,242.42
SAINT MARCEL,,2023-06-20 11:00:00,276.25
SAINT MARCEL,,2023-06-20 12:00:00,387.50
